episode,timesteps,avg_reward,ep_length,epsilon
62,29952,-10.0,422,0.01
63,29988,-1.0,9,0.01
64,30000,0.0,3,0.01
65,30036,0.75,9,0.01
66,31708,-20.0,418,0.01
67,31752,-1.0,11,0.01
68,31768,-0.25,4,0.01
69,31808,0.25,10,0.01
70,33464,-11.5,414,0.01
71,33528,-0.5,16,0.01
72,33532,-0.25,1,0.01
73,33576,0.75,11,0.01
74,35224,-17.0,412,0.01
75,35284,1.0,15,0.01
76,35296,0.0,3,0.01
77,35332,0.25,9,0.01
78,36984,-10.75,413,0.01
79,37052,1.0,17,0.01
80,37060,-0.5,2,0.01
81,37092,0.0,8,0.01
82,38756,-21.75,416,0.01
83,38816,-1.5,15,0.01
84,38820,0.0,1,0.01
85,38860,-0.5,10,0.01
86,40512,-17.25,413,0.01
87,40572,-0.75,15,0.01
88,40600,-0.5,7,0.01
89,40616,-0.25,4,0.01
90,42268,-9.5,413,0.01
91,42332,0.0,16,0.01
92,42352,0.5,5,0.01
93,42368,0.0,4,0.01
94,44028,-17.0,415,0.01
95,44108,0.75,20,0.01
96,44116,0.5,2,0.01
97,44132,-0.5,4,0.01
98,45780,0.5,412,0.01
99,45864,-2.5,21,0.01
100,45872,0.0,2,0.01
101,45892,-0.25,5,0.01
102,47560,2.25,417,0.01
103,47636,-0.5,19,0.01
104,47648,0.25,3,0.01
105,47660,-0.25,3,0.01
106,49320,-13.75,415,0.01
107,49396,-1.75,19,0.01
108,49428,0.0,8,0.01
109,49436,0.75,2,0.01
110,51068,-0.25,408,0.01
111,51172,0.25,26,0.01
112,51184,0.25,3,0.01
113,51208,0.0,6,0.01
114,52820,0.75,403,0.01
115,52924,0.0,26,0.01
116,52956,-0.5,8,0.01
117,52968,0.75,3,0.01
118,54588,4.25,405,0.01
119,54676,0.0,22,0.01
120,54736,-0.75,15,0.01
121,54744,-0.25,2,0.01
122,56344,-0.75,400,0.01
123,56452,-1.25,27,0.01
124,56484,0.25,8,0.01
125,56512,-0.75,7,0.01
126,58120,-4.5,402,0.01
127,58228,1.75,27,0.01
128,58256,1.5,7,0.01
129,58288,-1.75,8,0.01
130,59884,-7.5,399,0.01
131,60008,1.5,31,0.01
132,60028,0.5,5,0.01
133,60040,0.5,3,0.01
134,61652,1.75,403,0.01
135,61784,0.25,33,0.01
136,61792,0.25,2,0.01
137,61804,-0.25,3,0.01
138,63404,-7.25,400,0.01
139,63536,-0.5,33,0.01
140,63556,0.5,5,0.01
141,63580,1.0,6,0.01
142,65164,-0.25,396,0.01
143,65304,-1.75,35,0.01
144,65328,0.5,6,0.01
145,65332,-0.25,1,0.01
146,66924,3.75,398,0.01
147,67076,-0.5,38,0.01
148,67084,0.0,2,0.01
149,67088,-0.25,1,0.01
150,68672,-8.0,396,0.01
151,68828,0.75,39,0.01
152,68840,0.25,3,0.01
153,70448,8.5,402,0.01
154,70588,-5.5,35,0.01
155,70608,0.75,5,0.01
156,72220,-1.5,403,0.01
157,72364,2.5,36,0.01
158,72380,0.25,4,0.01
159,73980,-2.5,400,0.01
160,74124,0.25,36,0.01
161,74136,-0.75,3,0.01
162,74144,0.0,2,0.01
163,75756,-5.25,403,0.01
164,75876,1.5,30,0.01
165,75892,-0.25,4,0.01
166,75916,0.25,6,0.01
167,77520,0.0,401,0.01
168,77636,-0.5,29,0.01
169,77672,0.25,9,0.01
170,79280,3.75,402,0.01
171,79404,1.25,31,0.01
172,79424,1.25,5,0.01
173,79444,0.75,5,0.01
174,81060,3.25,404,0.01
175,81160,1.5,25,0.01
176,81184,0.5,6,0.01
177,81216,-0.5,8,0.01
178,82828,0.25,403,0.01
179,82932,-2.75,26,0.01
180,82956,0.25,6,0.01
181,82964,0.25,2,0.01
182,84588,12.25,406,0.01
183,84704,0.0,29,0.01
184,84724,-0.5,5,0.01
185,86352,9.5,407,0.01
186,86456,1.75,26,0.01
187,86488,0.25,8,0.01
188,86496,-0.25,2,0.01
189,88124,5.5,407,0.01
190,88216,0.5,23,0.01
191,88240,-1.0,6,0.01
192,88276,-0.25,9,0.01
193,89880,5.25,401,0.01
194,89968,0.25,22,0.01
195,90004,0.25,9,0.01
196,90032,1.0,7,0.01
197,91652,6.0,405,0.01
198,91724,-1.25,18,0.01
199,91760,0.5,9,0.01
200,91784,-0.25,6,0.01
201,93412,6.75,407,0.01
202,93480,-1.25,17,0.01
203,93524,1.0,11,0.01
204,93544,1.0,5,0.01
205,95168,4.0,406,0.01
206,95236,-0.25,17,0.01
207,95288,0.0,13,0.01
208,95324,0.75,9,0.01
209,96936,5.5,403,0.01
210,97008,0.25,18,0.01
211,97048,0.0,10,0.01
212,97100,0.0,13,0.01
213,98700,-0.25,400,0.01
214,98768,-1.25,17,0.01
215,98808,0.5,10,0.01
216,98868,1.5,15,0.01
